GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research
0.64,0.642857143,0.5,0.625,0.375,0.599358974,1
0.56,0.642857143,0.5,0.75,0.5,0.641025641,0
1,1,1,0.875,0.875,0.996794872,1
0.6,0.428571429,0.5,0.5,0.375,0.567307692,1
0.5,0.285714286,0,0.25,0.375,0.368589744,0
0.5,0.535714286,0.25,0.75,0.5,0.544871795,1
0.68,0.642857143,0.5,0.625,0.75,0.663461538,1
0.58,0.571428571,0.25,0.375,0.5,0.628205128,0
0.82,0.857142857,1,1,1,0.826923077,1
0.56,0.5,0.25,0.75,0.75,0.358974359,1
0.28,0.285714286,0.25,0.375,0.625,0.407051282,0
0.7,0.678571429,0.75,0.75,0.875,0.740384615,1
0.12,0.25,0.25,0.5,0.625,0.153846154,0
0.46,0.392857143,0.5,0.75,0.75,0.625,0
0.2,0.428571429,0.5,0.625,0.5,0.435897436,0
0.3,0.464285714,0.25,0.5,0.75,0.426282051,0
0.62,0.607142857,0.5,0.5,0.5,0.557692308,1
0.64,0.428571429,0.5,0.625,0.75,0.653846154,1
0.18,0.285714286,0,0.125,0.25,0.349358974,0
0.78,0.785714286,0.25,0.25,0.75,0.564102564,1
0.42,0.428571429,0.25,0.375,0.625,0.538461538,0
0.3,0.571428571,1,0.5,0.5,0.538461538,0
0.54,0.535714286,0.5,0.75,0.5,0.608974359,0
0.74,0.785714286,0.5,0.5,0.5,0.711538462,0
0.68,0.464285714,0.5,0.5,0.75,0.625,0
0.36,0.321428571,0.25,0.5,0.75,0.352564103,0
0.26,0.357142857,0.5,0.625,0.5,0.544871795,0
0.52,0.285714286,0.25,0.125,0.5,0.435897436,1
0.54,0.5,0.25,0.25,0.625,0.423076923,0
0.46,0.321428571,0.5,0.375,0.5,0.397435897,0
0.26,0.464285714,1,1,0.875,0.592948718,0
0.34,0.464285714,0.25,0.25,0.625,0.416666667,0
0.24,0.25,0.25,0,0.25,0.375,0
0.24,0.321428571,0.25,0.375,0.625,0.371794872,0
0.6,1,0.5,0.75,0.875,0.740384615,0
0.38,0.285714286,0.25,0.5,0.5,0.416666667,0
0.08,0.035714286,0,0.125,0.25,0.179487179,0
0.82,0.857142857,1,0.75,0.75,0.788461538,1
0.62,0.607142857,0.5,0.625,0.625,0.641025641,1
0.54,0.642857143,0.5,0.75,0.875,0.740384615,1
0.38,0.428571429,0.25,0.25,0.375,0.467948718,0
0.28,0.392857143,1,1,0.75,0.58974359,0
0.58,0.5,0.5,0.75,0.5,0.384615385,1
0.18,0.071428571,0,0,0,0.173076923,0
0.92,0.964285714,1,0.75,0.625,0.961538462,1
0.6,0.678571429,0.75,0.875,0.625,0.663461538,1
0.7,0.642857143,0.75,0.625,0.75,0.599358974,1
0.36,0.5,0.5,0.625,0.375,0.451923077,1
0.46,0.357142857,0.5,0.25,0.5,0.471153846,0
0.76,0.642857143,0.75,0.75,0.375,0.711538462,1
0.76,0.571428571,0.75,0.875,0.75,0.762820513,1
0.6,0.75,0.25,0.25,0.375,0.58974359,1
0.72,0.357142857,0.75,1,1,0.628205128,1
0.58,0.642857143,0.5,0.625,0.625,0.717948718,0
0.74,0.428571429,1,0.5,0.625,0.653846154,1
0.52,0.607142857,0.5,0.625,0.5,0.628205128,0
0.68,0.678571429,0.75,0.5,0.5,0.708333333,1
0.46,0.357142857,0.5,0.375,0.375,0.602564103,0
0.68,0.642857143,0.75,0.5,0.625,0.695512821,1
0.7,0.714285714,0.75,0.75,0.75,0.705128205,1
0.18,0.5,0.25,0.75,0.75,0.512820513,0
0.56,0.607142857,0,0.625,0.625,0.743589744,0
0.2,0.357142857,0.25,0.125,0.25,0.342948718,0
0.44,0.607142857,0.5,0.5,0.5,0.605769231,0
0.32,0.464285714,0.25,0.5,0.375,0.467948718,0
1,0.714285714,0.75,1,0.875,0.916666667,1
0.42,0.428571429,0.25,0.25,0.25,0.480769231,0
0.62,0.607142857,0.75,0.75,0.75,0.602564103,1
0.64,0.642857143,1,0.875,0.75,0.695512821,0
0.32,0.392857143,0.25,0.375,0.5,0.5,0
0.62,0.607142857,0.5,0.5,0.75,0.448717949,1
0.58,0.571428571,0.5,0.5,0.625,0.557692308,1
0.64,0.642857143,0.5,0.625,0.5,0.692307692,1
0.88,0.785714286,0.75,0.75,0.75,0.842948718,1
0.7,0.5,0.5,0.625,0.75,0.512820513,1
0.64,0.785714286,1,0.875,0.75,0.685897436,1
0.54,0.428571429,0.25,0.875,0.75,0.53525641,0
1,1,0.75,1,1,0.865384615,1
0.16,0.321428571,0.25,0.125,0.25,0.33974359,0
0.44,0.392857143,0.5,0.625,0.75,0.634615385,0
0.28,0.321428571,0.25,0.25,0.375,0.275641026,0
0.3,0.5,0.25,0.5,0.5,0.435897436,0
0.92,0.928571429,1,0.875,0.75,0.766025641,1
0.06,0.178571429,0.25,0.25,0.75,0.320512821,1
0.2,0.357142857,0.5,0.625,0.375,0.439102564,0
0.52,0.607142857,0.75,0.875,0.625,0.628205128,1
0,0.285714286,0,0.125,0.25,0.243589744,0
0.54,0.464285714,0.5,0.625,0.5,0.564102564,0
0.72,0.785714286,0.5,0.5,0.5,0.740384615,1
0.56,0.714285714,0.5,0.75,0.625,0.599358974,0
0.16,0.214285714,0.25,0.75,0.5,0.394230769,0
0.76,0.821428571,0.75,0.875,0.75,0.756410256,1
0.36,0.571428571,0.5,0.625,0.625,0.455128205,0
0.32,0.285714286,0.25,0.5,0.5,0.384615385,0
1,1,0.75,0.875,0.75,1,1
0.18,0.285714286,0.5,0.25,0.25,0.391025641,0
0.82,1,0.5,0.75,0.75,0.692307692,1
0.4,0.428571429,0.5,0.25,0.625,0.503205128,0
0.56,0.607142857,0.5,0.625,0.75,0.775641026,1
0.88,0.964285714,1,1,0.875,0.929487179,1
0.2,0.464285714,0,0,0.25,0.320512821,0
0.7,0.714285714,0.25,0.5,0.625,0.692307692,1
0.4,0.5,0.75,0.125,0.375,0.5,0
0.18,0.285714286,0.25,0.5,0.625,0.346153846,0
0.52,0.535714286,0.25,0.625,0.625,0.58974359,1
0.42,0.428571429,0.5,0.875,0.875,0.522435897,0
0.5,0.428571429,0.5,0.5,0.375,0.490384615,0
0.44,0.428571429,0.5,0.625,0.625,0.519230769,0
0.2,0.25,0,0,0.375,0.387820513,0
0.34,0.535714286,0.25,0.5,0.625,0.551282051,1
0.2,0.285714286,0.5,0.25,0.5,0.596153846,1
0.5,0.464285714,0.5,0.25,0.375,0.538461538,0
